city,county,latitude,longitude,categories,metrics
Accomack,Accomack,37.79007121212121,-75.65342666666666,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""14%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""3,020:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""13%""}, {""label"": ""Adult Obesity %"", ""value"": ""40%""}, {""label"": ""Physical Inactivity %"", ""value"": ""31%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""14%""}, {""label"": ""Unemployment %"", ""value"": ""3.6%""}, {""label"": ""Children in Poverty %"", ""value"": ""24""}, {""label"": ""Life Expectancy"", ""value"": ""74.5""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""14%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""3,020:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""13%""}, {""label"": ""Adult Obesity %"", ""value"": ""40%""}, {""label"": ""Physical Inactivity %"", ""value"": ""31%""}, {""label"": ""Food Insecurity %"", ""value"": ""14%""}, {""label"": ""Unemployment %"", ""value"": ""3.6%""}, {""label"": ""Children in Poverty %"", ""value"": ""24""}, {""label"": ""Life Expectancy"", ""value"": ""74.5""}]"
Albemarle,Albemarle,38.03248133333333,-78.55387066666667,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""8%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""720:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""9%""}, {""label"": ""Adult Obesity %"", ""value"": ""29%""}, {""label"": ""Physical Inactivity %"", ""value"": ""19%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""10%""}, {""label"": ""Unemployment %"", ""value"": ""2.6%""}, {""label"": ""Children in Poverty %"", ""value"": ""9""}, {""label"": ""Life Expectancy"", ""value"": ""81.6""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""8%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""720:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""9%""}, {""label"": ""Adult Obesity %"", ""value"": ""29%""}, {""label"": ""Physical Inactivity %"", ""value"": ""19%""}, {""label"": ""Food Insecurity %"", ""value"": ""10%""}, {""label"": ""Unemployment %"", ""value"": ""2.6%""}, {""label"": ""Children in Poverty %"", ""value"": ""9""}, {""label"": ""Life Expectancy"", ""value"": ""81.6""}]"
Alexandria,Alexandria,38.82330666666667,-77.08340166666666,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""9%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,300:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""10%""}, {""label"": ""Adult Obesity %"", ""value"": ""31%""}, {""label"": ""Physical Inactivity %"", ""value"": ""19%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""11%""}, {""label"": ""Unemployment %"", ""value"": ""2.4%""}, {""label"": ""Children in Poverty %"", ""value"": ""13""}, {""label"": ""Life Expectancy"", ""value"": ""82.4""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""9%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,300:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""10%""}, {""label"": ""Adult Obesity %"", ""value"": ""31%""}, {""label"": ""Physical Inactivity %"", ""value"": ""19%""}, {""label"": ""Food Insecurity %"", ""value"": ""11%""}, {""label"": ""Unemployment %"", ""value"": ""2.4%""}, {""label"": ""Children in Poverty %"", ""value"": ""13""}, {""label"": ""Life Expectancy"", ""value"": ""82.4""}]"
Alleghany,Alleghany,37.798698,-79.86560399999999,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""9%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""2,470:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""11%""}, {""label"": ""Adult Obesity %"", ""value"": ""39%""}, {""label"": ""Physical Inactivity %"", ""value"": ""26%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""14%""}, {""label"": ""Unemployment %"", ""value"": ""3.9%""}, {""label"": ""Children in Poverty %"", ""value"": ""19""}, {""label"": ""Life Expectancy"", ""value"": ""72.7""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""9%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""2,470:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""11%""}, {""label"": ""Adult Obesity %"", ""value"": ""39%""}, {""label"": ""Physical Inactivity %"", ""value"": ""26%""}, {""label"": ""Food Insecurity %"", ""value"": ""14%""}, {""label"": ""Unemployment %"", ""value"": ""3.9%""}, {""label"": ""Children in Poverty %"", ""value"": ""19""}, {""label"": ""Life Expectancy"", ""value"": ""72.7""}]"
Amelia,Amelia,37.33408,-78.03734,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""11%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""13,460:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""13%""}, {""label"": ""Adult Obesity %"", ""value"": ""39%""}, {""label"": ""Physical Inactivity %"", ""value"": ""28%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""12%""}, {""label"": ""Unemployment %"", ""value"": ""3.1%""}, {""label"": ""Children in Poverty %"", ""value"": ""14""}, {""label"": ""Life Expectancy"", ""value"": ""74.2""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""11%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""13,460:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""13%""}, {""label"": ""Adult Obesity %"", ""value"": ""39%""}, {""label"": ""Physical Inactivity %"", ""value"": ""28%""}, {""label"": ""Food Insecurity %"", ""value"": ""12%""}, {""label"": ""Unemployment %"", ""value"": ""3.1%""}, {""label"": ""Children in Poverty %"", ""value"": ""14""}, {""label"": ""Life Expectancy"", ""value"": ""74.2""}]"
Amherst,Amherst,37.559197499999996,-79.130755,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""9%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""5,260:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""12%""}, {""label"": ""Adult Obesity %"", ""value"": ""40%""}, {""label"": ""Physical Inactivity %"", ""value"": ""27%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""12%""}, {""label"": ""Unemployment %"", ""value"": ""3.0%""}, {""label"": ""Children in Poverty %"", ""value"": ""16""}, {""label"": ""Life Expectancy"", ""value"": ""75.5""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""9%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""5,260:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""12%""}, {""label"": ""Adult Obesity %"", ""value"": ""40%""}, {""label"": ""Physical Inactivity %"", ""value"": ""27%""}, {""label"": ""Food Insecurity %"", ""value"": ""12%""}, {""label"": ""Unemployment %"", ""value"": ""3.0%""}, {""label"": ""Children in Poverty %"", ""value"": ""16""}, {""label"": ""Life Expectancy"", ""value"": ""75.5""}]"
Appomattox,Appomattox,37.322743333333335,-78.78504666666667,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""10%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""8,370:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""12%""}, {""label"": ""Adult Obesity %"", ""value"": ""39%""}, {""label"": ""Physical Inactivity %"", ""value"": ""26%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""12%""}, {""label"": ""Unemployment %"", ""value"": ""3.2%""}, {""label"": ""Children in Poverty %"", ""value"": ""16""}, {""label"": ""Life Expectancy"", ""value"": ""76.7""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""10%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""8,370:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""12%""}, {""label"": ""Adult Obesity %"", ""value"": ""39%""}, {""label"": ""Physical Inactivity %"", ""value"": ""26%""}, {""label"": ""Food Insecurity %"", ""value"": ""12%""}, {""label"": ""Unemployment %"", ""value"": ""3.2%""}, {""label"": ""Children in Poverty %"", ""value"": ""16""}, {""label"": ""Life Expectancy"", ""value"": ""76.7""}]"
Arlington,Arlington,38.877846363636365,-77.09903,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""5%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,340:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""9%""}, {""label"": ""Adult Obesity %"", ""value"": ""25%""}, {""label"": ""Physical Inactivity %"", ""value"": ""15%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""11%""}, {""label"": ""Unemployment %"", ""value"": ""2.2%""}, {""label"": ""Children in Poverty %"", ""value"": ""8""}, {""label"": ""Life Expectancy"", ""value"": ""84.5""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""5%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,340:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""9%""}, {""label"": ""Adult Obesity %"", ""value"": ""25%""}, {""label"": ""Physical Inactivity %"", ""value"": ""15%""}, {""label"": ""Food Insecurity %"", ""value"": ""11%""}, {""label"": ""Unemployment %"", ""value"": ""2.2%""}, {""label"": ""Children in Poverty %"", ""value"": ""8""}, {""label"": ""Life Expectancy"", ""value"": ""84.5""}]"
Augusta,Augusta,38.149640454545455,-79.09397863636364,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""8%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,770:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""10%""}, {""label"": ""Adult Obesity %"", ""value"": ""41%""}, {""label"": ""Physical Inactivity %"", ""value"": ""24%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""11%""}, {""label"": ""Unemployment %"", ""value"": ""2.5%""}, {""label"": ""Children in Poverty %"", ""value"": ""10""}, {""label"": ""Life Expectancy"", ""value"": ""78.0""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""8%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,770:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""10%""}, {""label"": ""Adult Obesity %"", ""value"": ""41%""}, {""label"": ""Physical Inactivity %"", ""value"": ""24%""}, {""label"": ""Food Insecurity %"", ""value"": ""11%""}, {""label"": ""Unemployment %"", ""value"": ""2.5%""}, {""label"": ""Children in Poverty %"", ""value"": ""10""}, {""label"": ""Life Expectancy"", ""value"": ""78.0""}]"
Bath,Bath,38.047765,-79.795425,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""7%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""nan""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""13%""}, {""label"": ""Adult Obesity %"", ""value"": ""39%""}, {""label"": ""Physical Inactivity %"", ""value"": ""30%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""16%""}, {""label"": ""Unemployment %"", ""value"": ""2.6%""}, {""label"": ""Children in Poverty %"", ""value"": ""15""}, {""label"": ""Life Expectancy"", ""value"": ""74.0""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""7%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""nan""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""13%""}, {""label"": ""Adult Obesity %"", ""value"": ""39%""}, {""label"": ""Physical Inactivity %"", ""value"": ""30%""}, {""label"": ""Food Insecurity %"", ""value"": ""16%""}, {""label"": ""Unemployment %"", ""value"": ""2.6%""}, {""label"": ""Children in Poverty %"", ""value"": ""15""}, {""label"": ""Life Expectancy"", ""value"": ""74.0""}]"
