County,County Value**,Error Margin
"Virginia","38%",""
"Accomack","40%","34-47%"
"Albemarle","29%","24-35%"
"Alexandria City","31%","26-37%"
"Alleghany","39%","31-47%"
"Amelia","39%","31-47%"
"Amherst","40%","32-48%"
"Appomattox","39%","31-48%"
"Arlington","25%","21-30%"
"Augusta","41%","34-49%"
"Bath","39%","30-48%"
"Bedford","37%","30-44%"
"Bland","36%","28-45%"
"Botetourt","35%","27-43%"
"Bristol City","39%","31-48%"
"Brunswick","44%","35-52%"
"Buchanan","39%","31-47%"
"Buckingham","43%","35-52%"
"Buena Vista City","39%","31-48%"
"Campbell","36%","28-43%"
"Caroline","41%","33-50%"
"Carroll","41%","33-49%"
"Charles City","42%","33-51%"
"Charlotte","43%","35-51%"
"Charlottesville City","35%","28-44%"
"Chesapeake City","40%","34-46%"
"Chesterfield","36%","31-41%"
"Clarke","33%","25-41%"
"Colonial Heights City","38%","29-46%"
"Covington City","41%","32-51%"
"Craig","36%","28-45%"
"Culpeper","38%","31-46%"
"Cumberland","39%","31-48%"
"Danville City","42%","34-51%"
"Dickenson","39%","31-48%"
"Dinwiddie","40%","32-49%"
"Emporia City","45%","36-54%"
"Essex","43%","34-52%"
"Fairfax","24%","20-28%"
"Fairfax City","32%","24-39%"
"Falls Church City","29%","22-36%"
"Fauquier","32%","26-39%"
"Floyd","33%","25-40%"
"Fluvanna","39%","31-48%"
"Franklin","35%","28-42%"
"Franklin City","44%","35-53%"
"Frederick","37%","30-46%"
"Fredericksburg City","42%","34-50%"
"Galax City","39%","31-48%"
"Giles","36%","28-44%"
"Gloucester","35%","29-43%"
"Goochland","33%","26-41%"
"Grayson","41%","33-50%"
"Greene","38%","29-46%"
"Greensville","45%","37-54%"
"Halifax","41%","33-48%"
"Hampton City","41%","34-48%"
"Hanover","33%","26-39%"
"Harrisonburg City","39%","31-48%"
"Henrico","33%","27-38%"
"Henry","42%","35-50%"
"Highland","33%","26-42%"
"Hopewell City","46%","37-55%"
"Isle of Wight","36%","29-44%"
"James City","33%","26-40%"
"King and Queen","40%","32-49%"
"King George","36%","28-44%"
"King William","34%","27-43%"
"Lancaster","37%","29-45%"
"Lee","42%","34-51%"
"Lexington City","36%","28-45%"
"Loudoun","27%","23-32%"
"Louisa","36%","28-45%"
"Lunenburg","46%","38-54%"
"Lynchburg City","40%","33-48%"
"Madison","38%","30-47%"
"Manassas City","35%","28-44%"
"Manassas Park City","38%","29-47%"
"Martinsville City","45%","36-53%"
"Mathews","35%","27-44%"
"Mecklenburg","42%","34-49%"
"Middlesex","38%","30-47%"
"Montgomery","31%","25-38%"
"Nelson","35%","28-44%"
"New Kent","34%","27-43%"
"Newport News City","42%","35-49%"
"Norfolk City","42%","36-48%"
"Northampton","40%","33-48%"
"Northumberland","37%","30-46%"
"Norton City","41%","32-50%"
"Nottoway","43%","35-52%"
"Orange","37%","29-45%"
"Page","34%","27-43%"
"Patrick","40%","32-48%"
"Petersburg City","47%","39-55%"
"Pittsylvania","42%","35-48%"
"Poquoson City","33%","25-41%"
"Portsmouth City","41%","35-49%"
"Powhatan","36%","27-44%"
"Prince Edward","41%","33-50%"
"Prince George","40%","32-48%"
"Prince William","34%","29-39%"
"Pulaski","36%","28-43%"
"Radford City","41%","32-49%"
"Rappahannock","35%","27-44%"
"Richmond","37%","30-45%"
"Richmond City","38%","32-44%"
"Roanoke","34%","29-41%"
"Roanoke City","42%","35-49%"
"Rockbridge","34%","27-42%"
"Rockingham","34%","27-41%"
"Russell","39%","31-48%"
"Salem City","36%","28-45%"
"Scott","38%","31-47%"
"Shenandoah","36%","29-44%"
"Smyth","38%","30-47%"
"Southampton","38%","30-47%"
"Spotsylvania","40%","33-47%"
"Stafford","35%","28-42%"
"Staunton City","37%","28-45%"
"Suffolk City","42%","35-49%"
"Surry","40%","31-48%"
"Sussex","46%","37-54%"
"Tazewell","41%","33-48%"
"Virginia Beach City","37%","31-42%"
"Warren","38%","30-46%"
"Washington","38%","31-46%"
"Waynesboro City","39%","30-47%"
"Westmoreland","41%","34-50%"
"Williamsburg City","37%","29-46%"
"Winchester City","38%","30-48%"
"Wise","44%","36-51%"
"Wythe","38%","30-47%"
"York","32%","24-39%"
