County,County Value**,Error Margin
"Virginia","12%",""
"Accomack","13%","12-15%"
"Albemarle","9%","7-10%"
"Alexandria City","10%","8-11%"
"Alleghany","11%","9-13%"
"Amelia","13%","11-15%"
"Amherst","12%","10-14%"
"Appomattox","12%","10-14%"
"Arlington","9%","7-10%"
"Augusta","10%","9-12%"
"Bath","13%","11-15%"
"Bedford","10%","9-12%"
"Bland","11%","9-12%"
"Botetourt","10%","8-11%"
"Bristol City","12%","10-14%"
"Brunswick","15%","13-17%"
"Buchanan","13%","11-15%"
"Buckingham","14%","12-16%"
"Buena Vista City","12%","10-14%"
"Campbell","11%","10-13%"
"Caroline","12%","10-14%"
"Carroll","12%","10-13%"
"Charles City","14%","12-16%"
"Charlotte","14%","12-16%"
"Charlottesville City","12%","10-13%"
"Chesapeake City","12%","10-13%"
"Chesterfield","11%","9-12%"
"Clarke","9%","8-11%"
"Colonial Heights City","11%","9-12%"
"Covington City","13%","12-16%"
"Craig","10%","9-12%"
"Culpeper","11%","9-13%"
"Cumberland","12%","11-14%"
"Danville City","17%","15-19%"
"Dickenson","13%","11-15%"
"Dinwiddie","12%","10-14%"
"Emporia City","17%","14-19%"
"Essex","14%","12-16%"
"Fairfax","10%","8-11%"
"Fairfax City","10%","9-12%"
"Falls Church City","8%","7-9%"
"Fauquier","10%","8-11%"
"Floyd","10%","8-11%"
"Fluvanna","10%","9-12%"
"Franklin","11%","10-13%"
"Franklin City","15%","13-17%"
"Frederick","10%","8-11%"
"Fredericksburg City","12%","10-13%"
"Galax City","14%","12-16%"
"Giles","11%","9-12%"
"Gloucester","10%","8-11%"
"Goochland","9%","7-10%"
"Grayson","13%","11-15%"
"Greene","10%","9-12%"
"Greensville","16%","14-18%"
"Halifax","14%","13-16%"
"Hampton City","14%","12-16%"
"Hanover","9%","8-11%"
"Harrisonburg City","14%","12-16%"
"Henrico","11%","9-12%"
"Henry","13%","12-15%"
"Highland","9%","8-11%"
"Hopewell City","16%","14-18%"
"Isle of Wight","11%","9-13%"
"James City","9%","8-11%"
"King and Queen","13%","11-14%"
"King George","10%","9-12%"
"King William","10%","9-12%"
"Lancaster","12%","10-14%"
"Lee","14%","12-16%"
"Lexington City","11%","9-12%"
"Loudoun","9%","8-10%"
"Louisa","11%","9-13%"
"Lunenburg","15%","13-17%"
"Lynchburg City","13%","11-14%"
"Madison","10%","9-12%"
"Manassas City","12%","10-14%"
"Manassas Park City","14%","12-16%"
"Martinsville City","16%","14-18%"
"Mathews","10%","9-12%"
"Mecklenburg","14%","12-16%"
"Middlesex","11%","9-13%"
"Montgomery","11%","9-13%"
"Nelson","11%","9-12%"
"New Kent","10%","8-11%"
"Newport News City","13%","12-15%"
"Norfolk City","14%","12-15%"
"Northampton","13%","11-15%"
"Northumberland","11%","9-13%"
"Norton City","13%","11-15%"
"Nottoway","15%","12-16%"
"Orange","10%","9-12%"
"Page","11%","9-12%"
"Patrick","11%","10-13%"
"Petersburg City","17%","15-19%"
"Pittsylvania","13%","11-15%"
"Poquoson City","9%","7-10%"
"Portsmouth City","15%","13-17%"
"Powhatan","9%","8-11%"
"Prince Edward","14%","12-16%"
"Prince George","12%","11-14%"
"Prince William","11%","9-12%"
"Pulaski","11%","9-13%"
"Radford City","14%","12-16%"
"Rappahannock","10%","9-12%"
"Richmond","13%","11-15%"
"Richmond City","14%","12-15%"
"Roanoke","10%","8-11%"
"Roanoke City","13%","12-15%"
"Rockbridge","10%","9-12%"
"Rockingham","10%","9-12%"
"Russell","12%","10-14%"
"Salem City","10%","9-12%"
"Scott","12%","10-14%"
"Shenandoah","11%","9-13%"
"Smyth","12%","10-14%"
"Southampton","12%","10-14%"
"Spotsylvania","11%","10-13%"
"Stafford","10%","9-12%"
"Staunton City","11%","9-12%"
"Suffolk City","12%","11-14%"
"Surry","12%","11-14%"
"Sussex","14%","13-16%"
"Tazewell","12%","11-14%"
"Virginia Beach City","11%","10-13%"
"Warren","11%","9-13%"
"Washington","10%","9-12%"
"Waynesboro City","11%","10-13%"
"Westmoreland","13%","12-15%"
"Williamsburg City","11%","10-13%"
"Winchester City","13%","11-15%"
"Wise","13%","11-15%"
"Wythe","11%","9-13%"
"York","9%","8-11%"
