County,# Food Insecure,County Value**
"Virginia","1,050,300","12%"
"Accomack","4,650","14%"
"Albemarle","11,860","10%"
"Alexandria City","17,850","11%"
"Alleghany","2,120","14%"
"Amelia","1,610","12%"
"Amherst","3,860","12%"
"Appomattox","2,030","12%"
"Arlington","26,240","11%"
"Augusta","8,660","11%"
"Bath","680","16%"
"Bedford","8,560","11%"
"Bland","830","13%"
"Botetourt","3,280","10%"
"Bristol City","3,000","18%"
"Brunswick","2,100","13%"
"Buchanan","4,310","22%"
"Buckingham","2,350","14%"
"Buena Vista City","1,220","18%"
"Campbell","6,670","12%"
"Caroline","3,500","11%"
"Carroll","4,480","15%"
"Charles City","770","12%"
"Charlotte","2,090","18%"
"Charlottesville City","6,900","15%"
"Chesapeake City","25,970","10%"
"Chesterfield","35,650","10%"
"Clarke","1,500","10%"
"Colonial Heights City","2,330","13%"
"Covington City","960","17%"
"Craig","670","14%"
"Culpeper","5,730","11%"
"Cumberland","1,050","11%"
"Danville City","7,960","19%"
"Dickenson","3,000","22%"
"Dinwiddie","3,270","12%"
"Emporia City","940","17%"
"Essex","1,480","14%"
"Fairfax","105,170","9%"
"Fairfax City","2,500","10%"
"Falls Church City","1,470","10%"
"Fauquier","6,890","9%"
"Floyd","1,730","11%"
"Fluvanna","2,590","9%"
"Franklin","6,920","13%"
"Franklin City","1,250","15%"
"Frederick","9,620","10%"
"Fredericksburg City","4,250","15%"
"Galax City","1,190","18%"
"Giles","1,980","12%"
"Gloucester","4,410","11%"
"Goochland","2,080","8%"
"Grayson","2,390","16%"
"Greene","2,520","12%"
"Greensville","1,430","13%"
"Halifax","5,360","16%"
"Hampton City","18,440","13%"
"Hanover","9,990","9%"
"Harrisonburg City","8,210","16%"
"Henrico","35,900","11%"
"Henry","7,600","15%"
"Highland","280","13%"
"Hopewell City","4,100","18%"
"Isle of Wight","4,000","10%"
"James City","8,210","10%"
"King and Queen","940","14%"
"King George","2,570","9%"
"King William","1,770","10%"
"Lancaster","1,410","13%"
"Lee","4,820","22%"
"Lexington City","1,110","15%"
"Loudoun","32,230","8%"
"Louisa","4,480","12%"
"Lunenburg","1,810","15%"
"Lynchburg City","11,840","15%"
"Madison","1,430","10%"
"Manassas City","4,150","10%"
"Manassas Park City","1,720","10%"
"Martinsville City","2,430","18%"
"Mathews","1,000","12%"
"Mecklenburg","4,630","15%"
"Middlesex","1,300","12%"
"Montgomery","13,810","14%"
"Nelson","1,920","13%"
"New Kent","1,910","8%"
"Newport News City","27,090","15%"
"Norfolk City","36,240","15%"
"Northampton","1,890","16%"
"Northumberland","1,390","12%"
"Norton City","790","22%"
"Nottoway","2,400","15%"
"Orange","4,420","12%"
"Page","3,280","14%"
"Patrick","2,550","15%"
"Petersburg City","6,080","18%"
"Pittsylvania","8,630","14%"
"Poquoson City","1,170","9%"
"Portsmouth City","14,490","15%"
"Powhatan","2,300","7%"
"Prince Edward","3,600","16%"
"Prince George","4,360","10%"
"Prince William","42,770","9%"
"Pulaski","5,160","15%"
"Radford City","2,980","18%"
"Rappahannock","830","11%"
"Richmond","1,100","12%"
"Richmond City","35,070","15%"
"Roanoke","10,620","11%"
"Roanoke City","15,820","16%"
"Rockbridge","2,720","12%"
"Rockingham","9,700","12%"
"Russell","4,960","19%"
"Salem City","3,320","13%"
"Scott","3,950","18%"
"Shenandoah","6,220","14%"
"Smyth","4,940","17%"
"Southampton","2,070","12%"
"Spotsylvania","13,540","9%"
"Stafford","13,050","8%"
"Staunton City","3,640","14%"
"Suffolk City","10,200","11%"
"Surry","770","12%"
"Sussex","1,370","13%"
"Tazewell","6,980","18%"
"Virginia Beach City","50,590","11%"
"Warren","5,180","13%"
"Washington","7,730","14%"
"Waynesboro City","3,300","15%"
"Westmoreland","2,510","13%"
"Williamsburg City","2,030","13%"
"Winchester City","4,770","17%"
"Wise","6,440","18%"
"Wythe","4,370","16%"
"York","7,080","10%"
