County,County Value**,Error Margin
"Virginia","26%",""
"Accomack","31%","26-36%"
"Albemarle","19%","15-23%"
"Alexandria City","19%","16-23%"
"Alleghany","26%","21-31%"
"Amelia","28%","23-34%"
"Amherst","27%","22-32%"
"Appomattox","26%","22-31%"
"Arlington","15%","12-18%"
"Augusta","24%","19-29%"
"Bath","30%","24-35%"
"Bedford","24%","20-29%"
"Bland","24%","20-29%"
"Botetourt","22%","17-27%"
"Bristol City","28%","22-33%"
"Brunswick","32%","27-38%"
"Buchanan","32%","27-38%"
"Buckingham","29%","24-35%"
"Buena Vista City","28%","23-33%"
"Campbell","25%","21-30%"
"Caroline","27%","22-32%"
"Carroll","28%","23-33%"
"Charles City","29%","24-34%"
"Charlotte","31%","26-37%"
"Charlottesville City","23%","19-28%"
"Chesapeake City","22%","19-26%"
"Chesterfield","22%","18-26%"
"Clarke","21%","17-26%"
"Colonial Heights City","24%","20-29%"
"Covington City","31%","26-38%"
"Craig","24%","19-29%"
"Culpeper","25%","21-30%"
"Cumberland","26%","22-31%"
"Danville City","34%","29-40%"
"Dickenson","31%","26-37%"
"Dinwiddie","26%","22-31%"
"Emporia City","35%","29-41%"
"Essex","29%","24-34%"
"Fairfax","19%","16-22%"
"Fairfax City","20%","17-25%"
"Falls Church City","15%","12-19%"
"Fauquier","20%","17-25%"
"Floyd","24%","19-29%"
"Fluvanna","21%","18-26%"
"Franklin","25%","20-30%"
"Franklin City","31%","26-37%"
"Frederick","23%","19-28%"
"Fredericksburg City","24%","20-29%"
"Galax City","32%","27-37%"
"Giles","25%","20-30%"
"Gloucester","22%","18-27%"
"Goochland","19%","15-23%"
"Grayson","31%","26-37%"
"Greene","25%","20-29%"
"Greensville","31%","26-37%"
"Halifax","31%","26-36%"
"Hampton City","26%","22-31%"
"Hanover","20%","16-24%"
"Harrisonburg City","30%","25-35%"
"Henrico","21%","17-24%"
"Henry","30%","26-36%"
"Highland","22%","17-27%"
"Hopewell City","35%","29-41%"
"Isle of Wight","22%","18-27%"
"James City","19%","15-23%"
"King and Queen","27%","23-33%"
"King George","23%","18-27%"
"King William","23%","19-28%"
"Lancaster","25%","20-31%"
"Lee","32%","26-38%"
"Lexington City","23%","18-28%"
"Loudoun","19%","16-22%"
"Louisa","24%","19-29%"
"Lunenburg","31%","26-36%"
"Lynchburg City","25%","21-30%"
"Madison","24%","19-29%"
"Manassas City","26%","22-32%"
"Manassas Park City","31%","26-37%"
"Martinsville City","33%","28-39%"
"Mathews","23%","18-28%"
"Mecklenburg","29%","24-34%"
"Middlesex","24%","19-29%"
"Montgomery","23%","19-28%"
"Nelson","24%","20-30%"
"New Kent","21%","16-25%"
"Newport News City","28%","24-33%"
"Norfolk City","27%","23-32%"
"Northampton","28%","23-34%"
"Northumberland","23%","19-28%"
"Norton City","30%","25-36%"
"Nottoway","30%","25-35%"
"Orange","23%","19-28%"
"Page","27%","22-32%"
"Patrick","27%","22-33%"
"Petersburg City","33%","27-39%"
"Pittsylvania","31%","26-36%"
"Poquoson City","19%","15-24%"
"Portsmouth City","30%","25-35%"
"Powhatan","21%","17-26%"
"Prince Edward","29%","25-35%"
"Prince George","26%","21-30%"
"Prince William","23%","19-27%"
"Pulaski","26%","21-31%"
"Radford City","29%","24-34%"
"Rappahannock","23%","18-28%"
"Richmond","28%","23-34%"
"Richmond City","26%","22-30%"
"Roanoke","21%","17-26%"
"Roanoke City","29%","24-34%"
"Rockbridge","23%","19-29%"
"Rockingham","25%","20-30%"
"Russell","29%","24-35%"
"Salem City","23%","19-28%"
"Scott","29%","24-35%"
"Shenandoah","27%","22-32%"
"Smyth","28%","23-34%"
"Southampton","25%","21-30%"
"Spotsylvania","24%","20-28%"
"Stafford","22%","18-26%"
"Staunton City","24%","19-29%"
"Suffolk City","25%","21-30%"
"Surry","27%","22-32%"
"Sussex","30%","25-35%"
"Tazewell","29%","24-35%"
"Virginia Beach City","22%","18-26%"
"Warren","25%","20-30%"
"Washington","25%","20-30%"
"Waynesboro City","26%","22-32%"
"Westmoreland","30%","25-36%"
"Williamsburg City","24%","19-28%"
"Winchester City","29%","23-34%"
"Wise","30%","25-36%"
"Wythe","26%","21-31%"
"York","18%","14-23%"
